z_score,probability,probability_2
3.2,0.001109463,0.002263071
3.21,0.00108725,0.002221304
3.22,0.001065448,0.002180252
3.23,0.001044049,0.002139903
3.24,0.001023046,0.002100246
3.25,0.001002434,0.002061271
3.26,0.000982204,0.002022968
3.27,0.000962351,0.001985325
3.28,0.000942867,0.001948333
3.29,0.000923747,0.001911981
3.3,0.000904985,0.001876259
3.31,0.000886573,0.001841157
3.32,0.000868507,0.001806665
3.33,0.000850779,0.001772774
3.34,0.000833384,0.001739474
3.35,0.000816317,0.001706756
3.36,0.000799571,0.001674611
3.37,0.00078314,0.00164303
3.38,0.00076702,0.001612003
3.39,0.000751205,0.001581523
3.4,0.000735689,0.001551579
3.41,0.000720468,0.001522164
3.42,0.000705535,0.001493268
3.43,0.000690886,0.001464884
3.44,0.000676516,0.001437003
3.45,0.00066242,0.001409617
3.46,0.000648593,0.001382718
3.47,0.00063503,0.001356299
3.48,0.000621726,0.001330351
3.49,0.000608678,0.001304866
3.5,0.000595879,0.001279839
3.51,0.000583327,0.001255259
3.52,0.000571015,0.001231121
3.53,0.000558941,0.001207417
3.54,0.0005471,0.001184139
3.55,0.000535487,0.001161281
3.56,0.000524099,0.001138837
3.57,0.000512931,0.001116798
3.58,0.000501979,0.001095158
3.59,0.00049124,0.001073912
3.6,0.000480709,0.001053051
3.61,0.000470384,0.001032571
3.62,0.000460259,0.001012463
3.63,0.000450332,0.000992723
3.64,0.000440598,0.000973343
3.65,0.000431055,0.000954318
3.66,0.000421699,0.000935642
3.67,0.000412526,0.000917309
3.68,0.000403533,0.000899313
3.69,0.000394716,0.000881649
3.7,0.000386073,0.00086431
3.71,0.0003776,0.000847292
3.72,0.000369294,0.000830589
3.73,0.000361152,0.000814195
3.74,0.000353171,0.000798105
3.75,0.000345348,0.000782314
3.76,0.00033768,0.000766816
3.77,0.000330164,0.000751607
3.78,0.000322797,0.000736682
3.79,0.000315577,0.000722036
3.8,0.0003085,0.000707664
3.81,0.000301564,0.000693562
3.82,0.000294767,0.000679724
3.83,0.000288106,0.000666146
3.84,0.000281578,0.000652824
3.85,0.00027518,0.000639753
3.86,0.000268911,0.000626928
3.87,0.000262767,0.000614345
3.88,0.000256747,0.000602001
3.89,0.000250848,0.00058989
3.9,0.000245068,0.000578009
3.91,0.000239405,0.000566354
3.92,0.000233856,0.000554921
3.93,0.000228418,0.000543706
3.94,0.000223091,0.000532705
3.95,0.000217872,0.000521914
3.96,0.000212759,0.000511329
3.97,0.00020775,0.000500947
3.98,0.000202842,0.000490764
3.99,0.000198034,0.000480776
4,0.000193324,0.000470981
4.01,0.000188711,0.000461374
4.02,0.000184191,0.000451953
4.03,0.000179764,0.000442714
4.04,0.000175427,0.000433653
4.05,0.00017118,0.000424768
4.06,0.000167019,0.000416055
4.07,0.000162944,0.000407511
